Winery;Name;Price;Image-Link
Chateau Sopot;CHATEAU SOPOT, MUGRI PINOT GRIGIO 2019, 0.75L;520 ден;https://wine.mk/wp-content/uploads/2020/05/MugriMontaza-375x400.png
Chateau Sopot;CHATEAU SOPOT, VRANEC RESERVE 2017, 0.75L;1.020 ден;https://wine.mk/wp-content/uploads/2020/05/Reserve_Vranec_OsvetlenoNOVO-375x400.png
Chateau Sopot;CHATEAU SOPOT, SERBEZ ROSÉ 2020, 0.75L;520 ден;https://wine.mk/wp-content/uploads/2020/05/Serbez-375x400.png
Kamnik;CHATEAU KAMNIK, WINEMAKERS’ SELECTION 2020, 0.375L;330 ден;https://wine.mk/wp-content/uploads/2017/11/25-1-375x400.png
Kamnik;CHATEAU KAMNIK, SPARK GOLD BLANC DE BLANCS 2015, 0.75L;2.200 ден;https://wine.mk/wp-content/uploads/2022/07/Spark-gold-4-v2-375x400.jpg
Kamnik;CHATEAU KAMNIK, VIOGNIER 2021, 0.75L;980 ден;https://wine.mk/wp-content/uploads/2022/02/24-1-375x400.png
Kamnik;CHATEAU KAMNIK, CARMÉNÈRE 2021;1.190 ден;https://wine.mk/wp-content/uploads/2021/03/2-10-375x400.png
Kamnik;CHATEAU KAMNIK, THE ORANGE 2021, 0.75l;810 ден;https://wine.mk/wp-content/uploads/2021/01/12-4-375x400.png
Kamnik;CHATEAU KAMNIK, KRATOŠIJA 2021, 0.75l;1.190 ден;https://wine.mk/wp-content/uploads/2020/12/8-7-375x400.png
Kamnik;CHATEAU KAMNIK, CUVÉE DE PRESTIGE 2020;1.080 ден;https://wine.mk/wp-content/uploads/2020/04/CHATEAU-KAMNIK-CUVEE-DE-PRESTIGE-2020.jpeg
Kamnik;CHATEAU KAMNIK, HERITAGE GRAND RESERVA 2019;3.250 ден;https://wine.mk/wp-content/uploads/2020/01/7-7-375x400.png
Kamnik;CHATEAU KAMNIK, SPARK MUSCAT 2014, 0,75L;2.000 ден;https://wine.mk/wp-content/uploads/2020/01/Spark-muscat-375x400.jpg
Kamnik;CHATEAU KAMNIK, FUME BLANC 2021, 0,75L;730 ден;https://wine.mk/wp-content/uploads/2020/01/5-7-375x400.png
